,0,1,2,3,4,5,6,7,8,9,10,11
"('Q9', 'Q10')",2408012003598512561,2408012004431033022,2408012005259838650,2408012005598898203,2408012006425341978,2408012007250398691,2408012007589202487,2408012008413603830,2408012009239774172,2408012009579254216,2408012010405347661,2408012011228907259
"('Q16', 'Q17')",2408012004000870698,2408012004433399938,2408012005262567566,2408012006001238354,2408012006427690931,2408012007252900672,2408012007591562348,2408012008415952942,2408012009242160814,2408012009581629450,2408012010407707108,2408012011231298740
"('Q20', 'Q21')",2408012004004716012,2408012004435785755,2408012005264946275,2408012006004717942,2408012006430074001,2408012007255229418,2408012007593985290,2408012008418343020,2408012009244559436,2408012009583960676,2408012010410101914,2408012011233717740
"('Q27', 'Q28')",2408012004015070964,2408012004438178052,2408012005267325439,2408012006025240628,2408012006432443349,2408012007257568697,2408012007596376726,2408012008420665461,2408012009246962464,2408012009586917792,2408012010412491704,2408012011236083207
"('Q31', 'Q32')",2408012004025557433,2408012004440553791,2408012005269731963,2408012006042017293,2408012006434840126,2408012007259909782,2408012007598735597,2408012008423033162,2408012009249312758,2408012009589263552,2408012010414821989,2408012011238476623
"('Q35', 'Q36')",2408012004037409233,2408012004442935831,2408012005272071570,2408012006056489174,2408012006437172737,2408012007262552673,2408012008001130899,2408012008425415459,2408012009251723443,2408012009591644630,2408012010417169256,2408012011240829414
"('Q42', 'Q43')",2408012004056754428,2408012004445308407,2408012005274444062,2408012006080875013,2408012006439553929,2408012007264943616,2408012008020572515,2408012008427818753,2408012009254113365,2408012009594048923,2408012010419516600,2408012011243227757
"('Q46', 'Q47')",2408012004083797299,2408012004447690510,2408012005276982437,2408012006103349389,2408012006441875101,2408012007267330255,2408012008039599228,2408012008430200824,2408012009256457206,2408012009596456278,2408012010421922493,2408012011245623393
"('Q50', 'Q51')",2408012004103886433,2408012004450127394,2408012005279370404,2408012006105724512,2408012006444328913,2408012007269710864,2408012008055712685,2408012008432510759,2408012009258838144,2408012009598860116,2408012010424295878,2408012011248034554
"('Q57', 'Q58')",2408012004106295749,2408012004452522037,2408012005281744163,2408012006108129176,2408012006446701462,2408012007272072111,2408012008069536031,2408012008434888309,2408012009261231631,2408012010001260679,2408012010426697493,2408012011250428852
"('Q61', 'Q62')",2408012004108687160,2408012004454933725,2408012005284127635,2408012006110444062,2408012006449082466,2408012007274454101,2408012008093548690,2408012008437265686,2408012009263648608,2408012010026831859,2408012010429485248,2408012011252801286
"('Q68', 'Q69')",2408012004111056607,2408012004457366036,2408012005286481327,2408012006112832743,2408012006451501813,2408012007276849936,2408012008101696449,2408012008439602165,2408012009265994408,2408012010043939618,2408012010431829631,2408012011255132256
"('Q72', 'Q73')",2408012004113434367,2408012004459768066,2408012005288852351,2408012006115196421,2408012006453861267,2408012007279251798,2408012008104077445,2408012008441995696,2408012009268395791,2408012010056188369,2408012010434194933,2408012011257539851
"('Q76', 'Q77')",2408012004115919053,2408012004462156981,2408012005291665275,2408012006117585030,2408012006456230187,2408012007281661174,2408012008106502627,2408012008444367330,2408012009270801955,2408012010076067447,2408012010436581931,2408012011259935281
"('Q79', 'Q80')",2408012004118285263,2408012004464522521,2408012005294042720,2408012006119966969,2408012006458611133,2408012007284052094,2408012008108882184,2408012008446748013,2408012009273212630,2408012010099798030,2408012010438981900,2408012011262270522
"('Q83', 'Q84')",2408012004120664589,2408012004466891039,2408012005296384631,2408012006122351069,2408012006460990511,2408012007286451292,2408012008111232083,2408012008452596253,2408012009275570674,2408012010102243822,2408012010441365035,2408012011264625228
"('Q87', 'Q88')",2408012004123070167,2408012004469272701,2408012005298767874,2408012006124747573,2408012006463395898,2408012007288810905,2408012008113629930,2408012008454960280,2408012009277928662,2408012010104615783,2408012010443734618,2408012011267001679
"('Q94', 'Q95')",2408012004125511003,2408012004471696167,2408012005301155103,2408012006127122145,2408012006465772980,2408012007291201747,2408012008116005576,2408012008457319872,2408012009280310915,2408012010106995049,2408012010446102020,2408012011269405120
"('Q102', 'Q103')",2408012004127914481,2408012004474056827,2408012005303581346,2408012006129475086,2408012006468148397,2408012007293577388,2408012008118398038,2408012008459678535,2408012009282774823,2408012010109373234,2408012010448493033,2408012011271801181
"('Q105', 'Q106')",2408012004130246447,2408012004476443102,2408012005305979413,2408012006131931071,2408012006470557517,2408012007295975691,2408012008120790691,2408012008462091356,2408012009285116713,2408012010111756366,2408012010450871294,2408012011274195349
"('Q120', 'Q121')",2408012004132572717,2408012004478854824,2408012005308339435,2408012006134307154,2408012006472969051,2408012007298675252,2408012008123163527,2408012008464490622,2408012009287532253,2408012010114144017,2408012010453227451,2408012011276556461
"('Q124', 'Q125')",2408012004134959839,2408012004482045731,2408012005310723766,2408012006136692728,2408012006475374440,2408012007301069238,2408012008125652390,2408012008466883068,2408012009289914238,2408012010116494040,2408012010455587621,2408012011278937487
