,0,1,2,3,4,5
"('Q2', 'Q3')",2408311736433380143,2408311736435774851,2408311736438200413,2408311736440602506,2408311736442983030,2408311736445386941
"('Q16', 'Q17')",2408311736447765997,2408311736450145110,2408311736452786353,2408311736455191430,2408311736457591998,2408311736460020994
"('Q18', 'Q19')",2408311736462417329,2408311736464863418,2408311736467315134,2408311736469698419,2408311736472064544,2408311736474844083
"('Q58', 'Q59')",2408311736477202782,2408311736479583803,2408311736481977374,2408311736484386189,2408311736486773049,2408311736489157153
"('Q59', 'Q60')",2408311736491534934,2408311736493921022,2408311736496305745,2408311736498666717,2408311736501039109,2408311736503466315
"('Q81', 'Q82')",2408311736506033953,2408311736508387114,2408311736510728396,2408311736513086449,2408311736515455809,2408311736517861322
